Name,X (mm),Y (mm),Z (mm),Rx (deg),Ry (deg),Rz (deg),Approach,Joints
p3,418.787,144.72,29.758,179.9983,-0.0026000000000000003,65.31,false,"19525.000, 3506.000, -98743.000, -1.000, -92098.000, 26836.000, -4.000, 0.000"
p4,418.787,144.719,29.764,180.0,0.0,-114.76500000000001,false,"19521.000, 3508.000, -98740.000, 0.000, -92103.000, -77656.000, 0.000, 0.000"
p5,491.784,144.719,29.755,-179.9992,-5.000000000000001E-4,-108.74270000000001,false,"16792.000, 11738.000, -89252.000, 1.000, -93514.000, -72615.000, 0.000, 0.000"
p6,496.037,144.704,57.434,-179.9991,-6.0E-4,-107.5312,false,"16654.000, 11836.000, -85237.000, 1.000, -97910.000, -71834.000, 0.000, 0.000"
p1,501.154,147.774,57.439,179.99779999999998,-0.0024,74.3132,false,"16823.000, 12528.000, -84377.000, -1.000, -98095.000, 33589.000, 0.000, 0.000"
p2,503.609,147.774,33.28,179.9985,-0.0020000000000000005,74.314,false,"16745.000, 13126.000, -87022.000, -1.000, -94457.000, 33633.000, 0.000, 0.000"
reversep1,776.219,250.516,-240.0,-179.9992,0.0,0.0,false,"18316.000, 58674.000, -50083.000, -1.000, -84799.000, -10379.000, 0.000, 0.000"
newreversep1,772.267,249.694,-240.0,-179.9997,0.0,0.0,false,"18347.000, 58068.000, -51306.000, 0.000, -84105.000, -10397.000, 0.000, 0.000"
foo,772.275,249.691,-239.996,-179.9997,-9.0E-4,-6.0E-4,false,"18347.000, 58068.000, -51306.000, 0.000, -84105.000, -10397.000, 0.000, 0.000"
foo2,772.275,249.691,-239.996,-179.9997,-9.0E-4,-6.0E-4,false,"18347.000, 58068.000, -51306.000, 0.000, -84105.000, -10397.000, 0.000, 0.000"
foo3,1140.847,368.857,157.755,-85.0834,-72.0205,-76.76060000000001,false,"18347.000, 58068.000, -51306.000, 0.000, 21060.000, -10397.000, 0.000, 0.000"
foo4,1137.809,367.875,-149.584,-88.80739999999999,-72.0787,-73.21780000000001,false,"18347.000, 79190.000, -52048.000, 0.000, 44275.000, -10397.000, 0.000, 0.000"
flipmf_present_gear_prep,1140.847,368.857,157.755,-85.0834,-72.0205,-76.76060000000001,false,"18347.000, 58068.000, -51306.000, 0.000, 21060.000, -10397.000, 0.000, 0.000"
flipmf_present_gear,1137.809,367.875,-149.584,-88.80729999999998,-72.0787,-73.21780000000001,false,"18347.000, 79190.000, -52048.000, 0.000, 44275.000, -10397.000, 0.000, 0.000"
